u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
P1C,BSG,Other,FIS,Priority 4,Application,Walk up,P1C Latency / 3 Periods of API Timeouts,FIS,No Action Taken,Application issue,unknown,P1C experienced 3 periods of latency.  Root cause is not known at this time.,Support teams received an alert for the API timeouts.,2023-10-02 20:45:48,2023,Other
"CeB, Mobile",BSG,Resolve,FIS,Priority 3,Application,Email,Consumer eBanking and CeB Mobile  / Drop in volume and failures of SignOn call,FIS,Solved (workaround),Undetermined,performance,Consumer eBanking and Mobile SignOn traffic experienced intermittent login issues.  Root cause is under investigation.,EPP Service Delivery - BRM Team,2023-10-07 17:53:05,2023,Digital
Unspecified Applications,"MS, CM, CORP, BSG, INT",No Known Alert,tbd,Priority 5,General Technical,Self-service,HTTP / 2 Vulnerability  Prep,FIS,Solved (Permanently),Security Incident,scan,.,Unknown,2023-10-18 19:29:38,2023,Unknown
Unspecified Applications,BSG,Other,FIS,Priority 5,Batch & Data Transmission,Self-service,Open Payment Framework (OPF)  / ACH Rejected Return file sent as an Outgoing file to the Fed.,FIS,Solved (Permanently),Application issue,performance," A single client,  AMEX reported that ACH Rejected Return file sent as an Outgoing file to the FED was not received within the Open Payment Framework (OPF) application .The Returns file should be picked up in the 18:30 CT job run. 
",Application support,2023-10-12 01:36:14,2023,Unknown
Open Payment Framework,BSG,Other,FIS,Priority 3,Application,Self-service,Open Payment Framework / Real Time Payments transactions were failing for four consolidated gateway banks,FIS,Solved (Permanently),Undetermined,unknown,Real Time Payments transactions were failing for four consolidated gateway banks. Root cause is under investigation.,Alert went to the platform team via Splunk.,2023-10-18 09:20:53,2023,Other
Ethos Analytics,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Ethos Analytics / Application Unavailable due to expired certificate,FIS,Solved (Permanently),Application issue,certificate,Ethos Analytics users received  'Access Denied' message due to an expired keystore certificate. ,Unknown,2023-10-24 16:48:48,2023,Other
Unspecified Applications,"BSG, CM",No Known Alert,FIS,Priority 4,Server,Self-service,syndtrak.com is down,FIS,Solved (workaround),Security Incident,scan,"Digital One for Jenius Bank and SyndTrak (no client impact), was unavailable due to vulnerability scanning.  ",Unknown,2023-11-04 19:28:13,2023,Unknown
CardPro Connect - Reporting,BSG,Other,FIS,Priority 4,Server,Self-service,CardPro / Clients experiencing intermittent connectivity to application,FIS,Solved (Permanently),Configuration issue,configuration,CardPro experienced intermittent application errors due to incorrect traffic routing.,There will be a problem task open on this. There is alerting in place but email notice did not go out.,2023-01-22 20:06:05,2023,Cards
"Website Services, IBS Homepage, IdP, BeB, D1B, PaymentsOne, Loanet, Investran, Phase 3, TrustDesk, Client Point, RM Point, RDMS Web","BSG, CM",Other,external,Priority 3,Application,Email,Delayed response times in the PHX Data Center,FIS,Solved (workaround),Security Incident,external,Phoenix (PHX) Data Center experienced delayed response times for Banking Solutions and Capital Markets applications. Root cause under investigation.,Multiple teams received thousand Eyes alerts for Phx,2023-01-24 20:08:31,2023,Digital
GURU,BSG,No Known Alert,tbd,Priority 4,Application,Chat,CONTACT CENTER OUTAGE KB000009274 - Agents not able to take in calls Due to Navi and Guru Issues,FIS,No Action Taken,Undetermined,unknown,Call center agent supporting single client was receiving application error due to authentication failure. ,Unknown,2023-02-02 20:55:45,2023,Other
eZCard - TBS,BSG,No Known Alert,FIS,Priority 4,Application,Self-service,eZCard payments not posting for financial institutions on the TBS platform,FIS,Solved (Permanently),Undetermined,code,eZCard payments not posting for financial institutions on the TBS platform.  Root cause is still under investigation.,Unknown,2023-02-09 15:59:39,2023,Other
eWire,BSG,No Known Alert,FIS,Priority 5,Application,Email,eWire / Crystal Reports unavailable for clients.,FIS,Solved (Permanently),Application issue,unknown,Crystal Reports are not being generated via eWire for clients.  Wires are processing normally.  No client impact.  Root cause is being investigated.,Unknown,2023-02-16 13:47:45,2023,Other
CardPro,BSG,No Known Alert,FIS,Priority 5,General Technical,Self-service,Payments One Norcross/Card orders not reaching Cardpro,FIS,Solved (workaround),Application issue,build/migration,"There is an issue with the Norcross to Payments One migration, impacting card orders for Cardpro. Root cause is under investigation. ",Unknown,2023-02-15 20:55:04,2023,Cards
CardPro,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,CardPro - Clients card orders delayed,FIS,Solved (Permanently),Undetermined,unknown,"Card orders were not showing in CardPor, resulting in a one day delay for card to arrive due to an abend with CardPro that occurred Feb 15th, 2023. ",Unknown,2023-02-16 21:36:21,2023,Cards
"eZCard, RTDX, Image Center platforms, Digital Banking (Community Cores), Client portal",BSG,Other,FIS,Priority 1,Application,Email,Applications in LittleRock experiencing latency,FIS,Solved (workaround),Connectivity issue,hardware,Applications within Little Rock data center experienced latency issues. Root cause under investigation.,Network team,2023-02-18 07:50:47,2023,Integration
Unspecified Applications,BSG,Other,FIS,Priority 4,Application,Self-service,ImageCentre LR8 / Intermittent Connectivity Issues.,FIS,Solved (Permanently),Application issue,configuration,"The database team increased the DB process parameter to 8000 from 2500. Also, the sga pga was also increased, which resolved the issue.",App Team,2023-02-20 13:09:34,2023,Unknown
"Penley, Qualifile, WebCSR, XSP, Pricing and Data Services, Private Capital Suite, iQ, Wall Street Concepts.","BSG, CM, MS",Other,FIS,Priority 3,Application,Email,"LTRK, PHX, BDOC, VOR data centers seeing ThousandEye Alerts some applications experiencing performance impacts",FIS,Solved (Permanently),Change induced,change deployment,"Intermittent application latency experienced in US Data Centers. Root cause is under investigation.
",Application teams received alerts.,2023-03-07 20:34:43,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,eZCard / Some clients are unable to upload receipts in eZCard,FIS,Solved (workaround),Undetermined,unknown,Some clients are unable to upload receipts in eZCard. The root cause is under investigation.,Unknown,2023-03-08 07:18:42,2023,Unknown
FIS Integrated Payables,BSG,Other,FIS,Priority 4,General Technical,Self-service,FIS Integrated Payables / Inbound payments files import failure. ,FIS,Solved (workaround),Application issue,unknown,Import of FIS Integrated Payables inbound payments files for the clients were affected due to blockings/deadlocks on the database server. ,Service Delivery team received alerts and emails with the errors of the payment file imports. ,2023-03-17 13:15:52,2023,Other
"Banking Solutions:
Mobile OLB/FISC – 05:38 CT All good
OLB/D1flex – All good
D1 HWB - All good
Authnet – swung the traffic to BDOC - No impact
CCX/FXD – All good
CeB – looks  good post 05:40 AM CT
Business eBanking - 04:56 - 04:57 ET all good
Credit Data Warehouse – looks good
DataPlacement Manager (formerly known as DataExpress) – All good
IdP - 16:13 - 16:48 all goodDIH - BSH recovered at 4.55am CT
Certegy Check - 05:30 CT All good
Base2000 - recovered
TBS -recovered
P1C - recovered
Image Center -  All green
Decision Solutions - ALL Good.
 	- ChexAdvisor  in LRK recovered. 
	- ChexAdvisor API - recovered
	- Qualifile - recovered
	- BizChex recovered BCS (Business continuity services) - All good

Merchant Solutions:
Valutec Direct  - via PMN ""Dial"" traffic had an issue (very light traffic). All good 05:29CT","BSG, MS",Other,FIS,Priority 4,Network,AppNeta,BSG / A change for T2 firewall in Little Rock was caused impact to multiple applications. ,FIS,Solved (Permanently),Change induced,change deployment,"Applications in Little Rock and Brown Deer Data center experienced elevated response times due to a network change. Root cause is under investigation.
",Alert went to NOC team.,2023-03-19 12:53:05,2023,Digital
"FIS eAccess, EBT Edge, Fraud Navigator, Decision Solutions eAccess Portal, Decision Solutions Reports Portal, UserAdmin, DataNavigator (P6 & P7 were impacted), mConsole (SecurLOCK Equip)-(Access was impacted however no impacts to card controls transaction processing/decisioning.)",BSG,No Known Alert,FIS,Priority 3,Server,Other,eAccess/UserAdmin Proxy errors affected Single Sign-on,FIS,Solved (Permanently),Undetermined,performance,eAccess/UserAdmin Proxy errors affecting Single Sign-on. Root cause is under investigation.,Unknown,2023-03-28 20:37:10,2023,Security
Unspecified Applications,"BSG, CM, CORP",Spectrum,external,Priority 5,Network,3rd party integration,Network / Little Rock DC receiving NOC Alerts,FIS,Solved (workaround),Connectivity issue,external,Little Rock data center connections experienced issues due to a tornado warning in the area,GTSC Global NOC,2023-04-01 05:47:26,2023,Unknown
ValuTec,"MS, BSG",No Known Alert,FIS,Priority 3,General Technical,Self-service,ValuTec / Merchants are being inactivated by MDB user - started 3/29,FIS,Solved (Permanently),Change induced,change deployment,ValuTec gift cards for some merchants were being deactivated by Master Database (MDB).  Root cause is under investigation. ,Unknown,2023-04-06 15:56:56,2023,Other
Unspecified Applications,BSG,No Known Alert,Client,Priority 5,Network,Self-service,H&R Block Security Event - SIR0858038,FIS,Solved (Permanently),Security Incident,unknown,H&R Block's call center service provider was down due to a cybersecurity event.,Unknown,2023-04-20 06:34:22,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Self-service,EBT/Agents are unable to access OPA page for GCS El Paso & VXI.,FIS,Solved (Permanently),Change induced,change deployment,EBT/Agents were unable to access OPA page for GCS El Paso & VXI due to an Akamai SiteShield IP update for AppGW.,App Team received the alerts.,2023-05-09 11:29:35,2023,Unknown
Unspecified Applications,BSG,Other,FIS,Priority 4,Application,Alert,RNST Migration issues post latest release,FIS,Solved (Permanently),Configuration issue,configuration,Following a scheduled release some new clients were unable to be successfully migrated. ,During release,2023-06-20 12:25:00,2023,Unknown
Mobile/Online Banking (OLB),BSG,Other,FIS,Priority 3,Application,Email,OLB/Failure in Mobile for OLB Horizon banks,FIS,Solved (Permanently),Change induced,change deployment,Online Banking (OLB) Failure in Mobile affecting approx. 40 Horizon Banks due to a scheduled password change for OLB banks.,App Team,2023-06-20 09:49:59,2023,Digital
"Mobile, EBT, Decision solution, Zelle EAS connectivity, Certegy Check, Mobile Banking Platform, Flex, FOS Print and Mail ",BSG,Other,FIS,Priority 4,Application,Email,Brown Deer DC/BSG applications hosted in BDOC DC were impacted.,FIS,Solved (Permanently),Connectivity issue,hardware,Brown Deer Data Center (BDOC) hosted applications became unresponsive due to an issue with a load balancer.,NOC Team,2023-06-21 10:21:57,2023,Digital
"Modern Banking Platform - BOSS, Loan Origination",BSG,No Known Alert,FIS,Priority 3,Application,Self-service,MBP / Client impact reported following MBP change to update iDP keystore  ,"Citizens Bank, National Association",Solved (Permanently),Change induced,certificate,Modern Banking Platform BOSS and Loan Origination systems were unavailable for Citizens Bank and Jenius Bank due to an update to the iDP keystore.,Unknown,2023-07-17 02:05:50,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Server,Self-service,Vormetric / Encryption appliance in Pheonix DC offline,FIS,Solved (Permanently),Hardware failure,hardware,Vormetric encryption appliance phx2ammsniapl02.prod.local  is not reachable or pingable.  This is causing servers to not be able to connect to their encryption keys or policies and is making the file not accessible.  ,Noticed by encryption engineer.,2023-07-20 15:19:09,2023,Unknown
